time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2014-03-01,CY,29,13,4,8,0,4,0
2014-04-01,CY,30,21,7,3,6,0,0
2014-05-01,CY,35,9,0,0,0,6,4
2014-06-01,CY,39,13,5,0,0,0,0
2014-07-01,CY,48,26,4,0,0,18,4
2014-08-01,CY,42,27,0,0,15,0,11
2014-09-01,CY,32,19,0,0,5,0,4
2014-10-01,CY,32,14,0,0,0,0,0
2014-11-01,CY,27,8,4,0,0,5,8
2014-12-01,CY,20,9,0,0,0,0,0
2015-01-01,CY,26,18,0,0,0,0,0
2015-02-01,CY,20,7,0,0,0,0,0
2015-03-01,CY,18,15,0,0,4,0,0
2015-04-01,CY,23,14,0,0,0,0,0
2015-05-01,CY,26,14,3,3,0,0,0
2015-06-01,CY,30,9,3,3,0,0,9
2015-07-01,CY,28,0,6,0,0,0,0
2015-08-01,CY,30,11,2,0,0,0,0
2015-09-01,CY,27,6,0,5,0,0,0
2015-10-01,CY,25,15,0,0,12,0,0
2015-11-01,CY,18,7,0,0,0,0,0
2015-12-01,CY,15,11,3,0,0,0,0
2016-01-01,CY,19,11,0,0,0,25,0
2016-02-01,CY,19,19,3,0,4,0,7
2016-03-01,CY,20,16,0,3,0,0,0
2016-04-01,CY,22,12,0,0,13,0,0
2016-05-01,CY,23,11,2,0,0,0,0
2016-06-01,CY,25,17,9,0,0,0,0
2016-07-01,CY,34,14,3,5,0,0,0
2016-08-01,CY,32,16,0,0,4,0,0
2016-09-01,CY,26,10,2,0,0,0,0
2016-10-01,CY,22,9,0,0,0,0,0
2016-11-01,CY,17,10,0,0,0,0,0
2016-12-01,CY,15,8,0,0,0,5,0
2017-01-01,CY,19,12,0,0,0,4,0
2017-02-01,CY,20,14,2,0,0,0,0
2017-03-01,CY,18,9,0,7,0,3,7
2017-04-01,CY,20,9,3,0,0,0,0
2017-05-01,CY,23,5,0,0,0,0,0
2017-06-01,CY,28,11,0,3,0,0,0
2017-07-01,CY,30,13,0,0,0,0,0
2017-08-01,CY,33,11,4,0,0,0,0
2017-09-01,CY,25,18,0,0,14,0,0
2017-10-01,CY,24,12,2,0,0,10,5
2017-11-01,CY,19,8,0,3,0,0,0
2017-12-01,CY,16,10,0,0,6,6,3
2018-01-01,CY,18,11,0,3,0,0,3
2018-02-01,CY,22,13,0,0,0,0,3
2018-03-01,CY,21,16,0,0,0,0,0
2018-04-01,CY,24,16,0,0,0,0,0
2018-05-01,CY,27,21,0,3,0,0,0
2018-06-01,CY,30,15,3,0,0,0,0
2018-07-01,CY,31,16,0,0,0,0,3
2018-08-01,CY,34,13,0,0,0,0,0
2018-09-01,CY,29,17,3,0,4,9,0
2018-10-01,CY,28,11,2,0,0,0,4
2018-11-01,CY,23,10,0,0,0,0,4
2018-12-01,CY,19,9,3,0,0,0,3
2019-01-01,CY,22,13,3,0,0,0,0
2019-02-01,CY,21,17,4,0,0,0,3
2019-03-01,CY,21,8,3,0,0,0,0
2019-04-01,CY,24,18,0,0,4,0,0
2019-05-01,CY,27,10,2,2,6,0,0
2019-06-01,CY,31,16,0,0,0,0,0
2019-07-01,CY,32,15,4,0,3,0,0
2019-08-01,CY,37,19,0,0,0,0,0
2019-09-01,CY,31,15,0,0,0,4,0
2019-10-01,CY,28,8,0,0,0,0,0
2019-11-01,CY,22,8,0,0,0,0,0
2019-12-01,CY,19,6,3,0,5,7,0
2020-01-01,CY,21,12,0,2,0,5,0
2020-02-01,CY,23,12,2,6,0,0,10
2020-03-01,CY,17,6,0,0,0,5,0
2020-04-01,CY,9,6,5,0,4,0,3
2020-05-01,CY,14,9,4,0,0,0,0
2020-06-01,CY,22,8,0,0,0,0,4
2020-07-01,CY,30,26,0,0,0,0,0
2020-08-01,CY,30,25,2,0,3,3,0
2020-09-01,CY,22,17,0,0,3,0,3
2020-10-01,CY,19,7,0,0,0,7,0
2020-11-01,CY,14,5,0,0,0,0,0
2020-12-01,CY,15,0,0,0,0,0,0
2021-01-01,CY,13,3,0,0,12,0,6
2021-02-01,CY,12,7,0,0,0,0,0
2021-03-01,CY,14,4,3,0,0,0,0
2021-04-01,CY,15,5,0,0,0,4,0
2021-05-01,CY,20,12,0,3,0,0,2
2021-06-01,CY,28,16,0,0,0,8,0
2021-07-01,CY,34,26,0,3,0,4,0
2021-08-01,CY,36,17,0,0,5,5,0
2021-09-01,CY,28,17,0,0,0,0,0
2021-10-01,CY,27,14,3,0,0,0,0
2021-11-01,CY,20,9,0,0,4,0,0
2021-12-01,CY,17,4,2,0,4,0,0
2022-01-01,CY,17,9,0,0,0,0,3
2022-02-01,CY,20,9,2,0,0,0,7
2022-03-01,CY,22,15,0,3,0,0,0
2022-04-01,CY,24,20,0,3,0,0,0
2022-05-01,CY,28,15,0,3,0,0,0
2022-06-01,CY,29,12,0,0,0,0,0
2022-07-01,CY,30,17,4,0,0,0,0
2022-08-01,CY,29,16,0,0,0,0,0
2022-09-01,CY,26,20,2,6,0,0,5
2004-01-01,CZ,0,0,0,0,0,0,0
2004-02-01,CZ,0,0,0,0,0,0,0
2004-03-01,CZ,0,0,0,0,99,0,0
2004-04-01,CZ,35,50,0,0,100,0,0
2004-05-01,CZ,42,0,0,0,0,0,0
2004-06-01,CZ,100,0,0,0,0,0,0
2004-07-01,CZ,0,0,0,0,0,100,87
2004-08-01,CZ,46,0,0,0,0,0,0
2004-09-01,CZ,25,0,0,53,0,0,0
2004-10-01,CZ,49,0,0,0,0,0,0
2004-11-01,CZ,0,70,0,0,0,0,0
2004-12-01,CZ,0,0,0,0,0,0,0
2005-01-01,CZ,0,34,0,0,0,31,0
2005-02-01,CZ,0,32,29,0,0,0,0
2005-03-01,CZ,0,0,28,0,0,0,48
2005-04-01,CZ,0,100,0,0,0,60,0
2005-05-01,CZ,19,0,51,0,0,0,0
2005-06-01,CZ,0,0,0,100,62,0,0
2005-07-01,CZ,0,0,0,0,0,0,0
2005-08-01,CZ,22,0,0,0,0,0,0
2005-09-01,CZ,0,20,0,0,0,0,0
2005-10-01,CZ,0,0,0,0,0,0,43
2005-11-01,CZ,15,0,0,0,0,0,40
2005-12-01,CZ,20,0,0,0,0,25,100
2006-01-01,CZ,0,0,0,0,0,0,0
2006-02-01,CZ,0,0,0,0,0,0,0
2006-03-01,CZ,16,0,100,0,0,13,33
2006-04-01,CZ,29,0,0,0,0,0,0
2006-05-01,CZ,0,0,34,0,44,0,0
2006-06-01,CZ,27,0,0,30,0,17,47
2006-07-01,CZ,12,0,0,0,0,0,0
2006-08-01,CZ,26,0,0,0,0,0,46
2006-09-01,CZ,27,13,0,0,0,32,0
2006-10-01,CZ,0,0,0,0,71,0,55
2006-11-01,CZ,11,0,0,23,32,0,0
2006-12-01,CZ,10,0,23,0,36,0,0
2007-01-01,CZ,0,0,0,0,0,0,0
2007-02-01,CZ,9,0,0,0,0,0,0
2007-03-01,CZ,0,0,0,0,23,14,28
2007-04-01,CZ,0,0,0,0,0,0,0
2007-05-01,CZ,7,0,0,0,0,0,0
2007-06-01,CZ,23,11,0,0,0,0,0
2007-07-01,CZ,13,12,0,45,0,0,0
2007-08-01,CZ,12,0,0,0,0,0,0
2007-09-01,CZ,0,0,0,0,0,0,0
2007-10-01,CZ,0,0,0,0,0,0,0
2007-11-01,CZ,8,0,9,0,0,0,0
2007-12-01,CZ,8,0,0,0,0,17,0
2008-01-01,CZ,6,0,0,13,0,0,0
2008-02-01,CZ,6,0,0,0,0,0,0
2008-03-01,CZ,7,0,8,0,0,0,0
2008-04-01,CZ,0,0,0,21,0,0,0
2008-05-01,CZ,23,0,0,0,0,0,0
2008-06-01,CZ,10,0,0,0,0,0,0
2008-07-01,CZ,11,0,8,0,0,0,25
2008-08-01,CZ,6,12,0,0,0,0,0
2008-09-01,CZ,7,0,0,0,0,0,0
2008-10-01,CZ,0,7,0,0,0,0,16
2008-11-01,CZ,5,16,0,0,23,0,0
2008-12-01,CZ,7,0,9,0,15,0,32
2009-01-01,CZ,7,0,0,20,0,0,27
2009-02-01,CZ,0,0,0,12,0,0,0
2009-03-01,CZ,8,0,0,0,18,0,21
2009-04-01,CZ,7,12,13,0,0,0,16
2009-05-01,CZ,4,0,0,0,0,0,0
2009-06-01,CZ,12,0,0,0,0,0,0
2009-07-01,CZ,9,0,0,0,18,0,0
2009-08-01,CZ,19,7,11,0,0,0,0
2009-09-01,CZ,15,0,0,0,0,0,0
2009-10-01,CZ,7,0,23,0,0,0,27
2009-11-01,CZ,0,11,16,0,18,0,0
2009-12-01,CZ,8,0,0,0,0,0,0
2010-01-01,CZ,2,18,0,0,31,0,20
2010-02-01,CZ,9,0,0,0,0,0,0
2010-03-01,CZ,6,0,7,0,0,0,0
2010-04-01,CZ,9,0,0,0,0,0,0
2010-05-01,CZ,17,13,13,0,0,0,0
2010-06-01,CZ,15,0,0,14,0,6,0
2010-07-01,CZ,6,0,8,0,0,6,0
2010-08-01,CZ,7,0,8,0,50,0,0
2010-09-01,CZ,7,0,0,0,27,0,11
2010-10-01,CZ,7,6,0,0,0,0,30
2010-11-01,CZ,9,0,10,0,0,0,0
2010-12-01,CZ,8,0,0,18,0,0,78
2011-01-01,CZ,7,13,0,0,0,0,9
2011-02-01,CZ,4,0,4,28,0,0,0
2011-03-01,CZ,5,0,4,0,0,0,0
2011-04-01,CZ,12,0,0,0,0,0,0
2011-05-01,CZ,6,0,0,0,0,0,0
2011-06-01,CZ,11,4,0,10,0,4,0
2011-07-01,CZ,15,0,9,0,0,0,15
2011-08-01,CZ,14,0,4,0,0,3,0
2011-09-01,CZ,10,4,0,0,0,0,0
2011-10-01,CZ,5,0,0,0,0,0,12
2011-11-01,CZ,5,0,0,0,0,4,0
2011-12-01,CZ,5,5,0,8,0,0,7
2012-01-01,CZ,8,3,0,5,9,0,0
2012-02-01,CZ,5,0,8,0,0,0,0
2012-03-01,CZ,8,0,0,0,0,0,0
2012-04-01,CZ,6,0,5,0,0,0,0
2012-05-01,CZ,9,6,0,0,0,0,0
2012-06-01,CZ,8,0,0,8,0,0,0
2012-07-01,CZ,7,0,3,6,0,0,0
2012-08-01,CZ,10,0,0,0,0,2,14
2012-09-01,CZ,9,7,5,0,0,0,15
2012-10-01,CZ,6,0,0,0,0,0,0
2012-11-01,CZ,4,6,0,13,0,0,0
2012-12-01,CZ,6,7,0,0,0,0,0
2013-01-01,CZ,6,3,3,10,0,0,0
2013-02-01,CZ,6,0,0,0,28,5,0
2013-03-01,CZ,4,4,0,0,0,0,0
2013-04-01,CZ,10,0,0,0,0,0,5
2013-05-01,CZ,6,0,0,0,9,0,0
2013-06-01,CZ,9,0,0,6,0,0,0
2013-07-01,CZ,12,4,3,6,0,0,0
2013-08-01,CZ,12,7,0,0,9,0,0
2013-09-01,CZ,8,0,0,0,7,6,0
2013-10-01,CZ,10,0,0,0,0,0,0
2013-11-01,CZ,4,0,0,0,0,0,0
2013-12-01,CZ,6,0,4,0,0,4,0
2014-01-01,CZ,8,0,0,0,0,0,0
2014-02-01,CZ,5,0,0,8,0,0,0
2014-03-01,CZ,7,0,0,0,0,0,9
2014-04-01,CZ,10,3,0,0,0,3,0
2014-05-01,CZ,9,3,3,0,0,0,0
2014-06-01,CZ,5,0,0,6,0,0,0
2014-07-01,CZ,12,0,0,0,0,3,0
2014-08-01,CZ,13,0,0,0,0,0,0
2014-09-01,CZ,8,0,0,7,0,7,0
2014-10-01,CZ,10,0,0,0,0,0,0
2014-11-01,CZ,7,0,0,4,0,0,0
2014-12-01,CZ,6,0,0,0,0,0,0
2015-01-01,CZ,5,5,0,0,0,0,0
2015-02-01,CZ,10,0,0,7,0,8,0
2015-03-01,CZ,8,0,0,0,5,2,6
2015-04-01,CZ,5,4,4,8,0,0,7
2015-05-01,CZ,7,0,0,4,0,0,8
2015-06-01,CZ,9,4,0,0,0,0,0
2015-07-01,CZ,15,0,6,9,0,0,0
2015-08-01,CZ,10,0,7,0,0,3,0
2015-09-01,CZ,7,0,0,0,0,0,0
2015-10-01,CZ,8,0,0,0,8,0,0
2015-11-01,CZ,7,4,0,0,6,0,0
2015-12-01,CZ,8,7,0,5,0,4,0
2016-01-01,CZ,6,0,0,0,0,0,0
2016-02-01,CZ,6,0,0,0,13,0,0
2016-03-01,CZ,9,0,7,0,0,0,0
2016-04-01,CZ,7,4,12,0,0,0,0
2016-05-01,CZ,8,5,0,0,0,0,0
2016-06-01,CZ,11,5,0,0,0,0,4
2016-07-01,CZ,11,3,0,0,6,0,0
2016-08-01,CZ,10,0,0,14,13,0,9
2016-09-01,CZ,13,0,0,0,0,0,0
2016-10-01,CZ,6,0,0,6,0,3,0
2016-11-01,CZ,5,0,0,0,0,0,0
2016-12-01,CZ,5,0,6,0,0,0,0
2017-01-01,CZ,6,2,0,0,0,0,0
2017-02-01,CZ,6,0,0,0,0,7,5
2017-03-01,CZ,5,4,0,0,0,0,6
2017-04-01,CZ,7,3,0,6,7,0,0
2017-05-01,CZ,9,0,3,0,0,3,0
2017-06-01,CZ,6,0,0,0,0,2,0
2017-07-01,CZ,11,6,0,0,0,0,0
2017-08-01,CZ,11,0,10,0,0,0,0
2017-09-01,CZ,12,0,0,0,0,0,0
2017-10-01,CZ,11,0,4,0,0,0,0
2017-11-01,CZ,6,0,0,0,0,0,0
2017-12-01,CZ,8,0,0,0,0,0,0
2018-01-01,CZ,7,0,0,0,5,0,0
2018-02-01,CZ,7,0,0,0,0,0,0
2018-03-01,CZ,8,0,5,0,0,1,0
2018-04-01,CZ,8,4,0,0,0,0,0
2018-05-01,CZ,8,0,0,0,8,0,10
2018-06-01,CZ,10,2,0,0,0,0,0
2018-07-01,CZ,12,0,0,0,0,2,0
2018-08-01,CZ,10,0,0,0,0,0,0
2018-09-01,CZ,10,0,5,0,0,0,0
2018-10-01,CZ,8,0,0,0,8,0,6
2018-11-01,CZ,5,0,0,5,0,0,0
2018-12-01,CZ,6,0,0,5,0,0,0
2019-01-01,CZ,5,5,0,0,0,0,0
2019-02-01,CZ,6,5,3,0,0,0,0
2019-03-01,CZ,4,0,0,0,0,3,0
2019-04-01,CZ,8,0,0,0,0,0,4
2019-05-01,CZ,8,2,0,0,0,0,0
2019-06-01,CZ,10,3,5,9,10,0,0
2019-07-01,CZ,8,5,0,0,0,0,0
2019-08-01,CZ,9,0,0,0,0,0,7
2019-09-01,CZ,8,0,0,0,0,0,0
2019-10-01,CZ,7,4,0,7,0,0,0
2019-11-01,CZ,5,0,0,0,0,0,9
2019-12-01,CZ,7,0,6,0,25,0,0
2020-01-01,CZ,7,0,0,0,0,3,0
2020-02-01,CZ,7,0,0,0,0,1,0
2020-03-01,CZ,22,4,0,0,0,0,15
2020-04-01,CZ,13,0,0,0,4,0,0
2020-05-01,CZ,12,3,4,0,0,0,5
2020-06-01,CZ,13,0,0,0,0,2,0
2020-07-01,CZ,17,0,0,0,0,0,0
2020-08-01,CZ,13,7,2,0,0,0,5
2020-09-01,CZ,14,6,0,8,0,0,0
2020-10-01,CZ,7,5,0,0,0,0,0
2020-11-01,CZ,5,4,0,0,8,3,0
2020-12-01,CZ,5,3,0,0,0,4,0
2021-01-01,CZ,4,3,0,0,0,0,0
2021-02-01,CZ,4,0,0,0,0,0,0
2021-03-01,CZ,6,5,0,0,0,0,0
2021-04-01,CZ,5,0,0,11,0,0,7
2021-05-01,CZ,5,3,0,0,0,1,0
2021-06-01,CZ,7,0,0,0,6,1,0
2021-07-01,CZ,9,9,0,0,8,0,5
2021-08-01,CZ,9,0,0,7,0,0,0
2021-09-01,CZ,8,0,0,5,0,0,0
2021-10-01,CZ,6,7,4,0,0,0,0
2021-11-01,CZ,8,0,0,0,0,0,0
2021-12-01,CZ,7,4,7,0,0,0,0
2022-01-01,CZ,6,0,0,0,12,0,0
2022-02-01,CZ,5,0,0,0,10,0,0
2022-03-01,CZ,8,0,0,0,4,0,0
2022-04-01,CZ,7,0,2,0,0,0,0
2022-05-01,CZ,8,2,0,0,0,0,3
2022-06-01,CZ,8,0,3,0,0,0,0
2022-07-01,CZ,7,0,0,0,5,0,0
2022-08-01,CZ,7,0,0,7,0,0,0
2022-09-01,CZ,7,0,4,0,0,0,0
2004-01-01,DE,44,16,0,0,0,0,0
2004-02-01,DE,34,0,0,47,63,32,100
2004-03-01,DE,60,100,0,0,0,0,68
2004-04-01,DE,65,16,0,0,100,66,94
2004-05-01,DE,71,0,0,0,0,0,49
2004-06-01,DE,68,18,0,0,0,0,0
2004-07-01,DE,74,0,0,0,0,100,0
2004-08-01,DE,70,40,0,100,0,59,0
2004-09-01,DE,52,35,52,0,0,31,0
2004-10-01,DE,58,19,0,0,0,0,0
2004-11-01,DE,47,0,0,0,0,0,0
2004-12-01,DE,46,17,0,0,23,0,0
2005-01-01,DE,41,22,34,0,0,19,0
2005-02-01,DE,53,0,0,0,31,73,0
2005-03-01,DE,72,11,0,0,0,0,0
2005-04-01,DE,74,18,0,0,0,0,0
2005-05-01,DE,84,10,100,0,0,26,0
2005-06-01,DE,84,21,0,0,0,0,0
2005-07-01,DE,96,23,0,41,0,0,0
2005-08-01,DE,97,17,0,0,0,0,0
2005-09-01,DE,64,29,0,27,0,0,37
2005-10-01,DE,77,12,29,28,0,0,0
2005-11-01,DE,57,16,0,0,0,0,0
2005-12-01,DE,45,0,0,0,0,0,0
2006-01-01,DE,47,17,0,0,0,0,0
2006-02-01,DE,43,15,0,0,0,18,0
2006-03-01,DE,47,17,0,0,0,0,0
2006-04-01,DE,69,16,0,71,0,23,0
2006-05-01,DE,76,15,32,0,0,0,0
2006-06-01,DE,88,22,0,0,0,0,0
2006-07-01,DE,79,18,0,0,0,0,0
2006-08-01,DE,69,16,0,38,0,0,0
2006-09-01,DE,63,15,22,0,0,0,0
2006-10-01,DE,65,10,32,17,0,0,0
2006-11-01,DE,45,23,0,27,45,0,0
2006-12-01,DE,47,8,0,0,0,0,0
2007-01-01,DE,48,22,0,0,0,0,0
2007-02-01,DE,50,19,0,0,0,0,0
2007-03-01,DE,61,19,22,0,0,9,0
2007-04-01,DE,72,23,0,0,0,0,0
2007-05-01,DE,70,20,0,0,10,0,0
2007-06-01,DE,76,17,0,47,0,0,19
2007-07-01,DE,86,13,44,33,0,32,0
2007-08-01,DE,71,13,13,0,8,0,0
2007-09-01,DE,69,15,0,0,0,0,0
2007-10-01,DE,61,16,26,0,0,0,0
2007-11-01,DE,49,17,0,15,7,11,0
2007-12-01,DE,46,8,0,0,0,15,0
2008-01-01,DE,50,7,24,0,0,12,0
2008-02-01,DE,44,13,0,0,6,0,0
2008-03-01,DE,54,13,0,0,10,0,0
2008-04-01,DE,57,14,0,0,0,0,0
2008-05-01,DE,64,11,17,0,0,0,25
2008-06-01,DE,68,10,0,0,25,0,0
2008-07-01,DE,76,22,0,0,0,0,0
2008-08-01,DE,65,11,0,0,0,0,0
2008-09-01,DE,53,13,31,0,0,8,0
2008-10-01,DE,59,19,0,0,0,0,0
2008-11-01,DE,45,13,10,0,0,10,9
2008-12-01,DE,41,17,0,0,0,0,0
2009-01-01,DE,52,13,0,0,5,0,0
2009-02-01,DE,46,8,11,10,0,0,0
2009-03-01,DE,47,13,9,0,0,0,9
2009-04-01,DE,60,16,0,0,8,0,0
2009-05-01,DE,53,17,0,0,21,9,0
2009-06-01,DE,58,13,39,0,0,0,0
2009-07-01,DE,61,14,19,0,0,5,0
2009-08-01,DE,62,12,13,0,6,0,0
2009-09-01,DE,49,21,9,24,0,0,0
2009-10-01,DE,50,20,12,23,0,0,8
2009-11-01,DE,40,9,21,0,6,0,0
2009-12-01,DE,36,4,0,0,9,6,0
2010-01-01,DE,39,5,20,0,0,0,0
2010-02-01,DE,46,15,0,0,0,0,0
2010-03-01,DE,50,18,15,13,5,0,20
2010-04-01,DE,57,13,0,0,0,0,0
2010-05-01,DE,55,22,8,0,8,0,0
2010-06-01,DE,54,12,11,0,0,5,0
2010-07-01,DE,57,13,13,0,0,0,0
2010-08-01,DE,50,9,11,0,0,18,10
2010-09-01,DE,41,11,12,0,0,0,0
2010-10-01,DE,43,8,11,26,0,0,7
2010-11-01,DE,36,6,11,0,0,0,0
2010-12-01,DE,34,10,0,0,0,0,7
2011-01-01,DE,39,10,6,0,5,6,0
2011-02-01,DE,39,12,10,0,3,5,0
2011-03-01,DE,46,11,10,0,7,0,0
2011-04-01,DE,54,6,5,0,4,0,0
2011-05-01,DE,55,13,11,0,5,0,0
2011-06-01,DE,67,15,0,0,0,0,0
2011-07-01,DE,69,23,19,0,0,0,0
2011-08-01,DE,68,12,0,0,0,0,0
2011-09-01,DE,55,17,14,16,4,0,4
2011-10-01,DE,70,13,32,0,0,0,5
2011-11-01,DE,47,14,14,0,0,0,0
2011-12-01,DE,54,16,0,6,0,4,0
2012-01-01,DE,59,14,15,0,0,3,0
2012-02-01,DE,57,13,5,0,0,0,0
2012-03-01,DE,59,16,6,0,3,3,0
2012-04-01,DE,59,19,23,13,0,5,0
2012-05-01,DE,63,16,13,0,0,0,0
2012-06-01,DE,67,16,10,0,0,0,0
2012-07-01,DE,70,21,6,0,0,8,0
2012-08-01,DE,70,20,16,4,0,0,0
2012-09-01,DE,62,15,8,0,0,0,0
2012-10-01,DE,65,20,10,4,0,0,0
2012-11-01,DE,53,12,13,0,0,0,0
2012-12-01,DE,47,20,13,0,0,0,0
2013-01-01,DE,41,14,12,0,0,5,0
2013-02-01,DE,47,11,0,3,0,0,0
2013-03-01,DE,54,22,12,0,0,0,0
2013-04-01,DE,52,17,5,3,0,9,0
2013-05-01,DE,62,20,12,3,0,0,6
2013-06-01,DE,60,7,0,0,0,0,4
2013-07-01,DE,70,15,0,6,4,0,0
2013-08-01,DE,70,21,17,0,0,3,4
2013-09-01,DE,55,15,9,0,0,0,4
2013-10-01,DE,62,13,0,0,4,0,0
2013-11-01,DE,51,14,11,0,0,0,0
2013-12-01,DE,51,11,0,6,0,0,4
2014-01-01,DE,47,11,11,0,0,0,8
2014-02-01,DE,46,10,4,10,0,0,4
2014-03-01,DE,50,14,14,0,0,0,0
2014-04-01,DE,58,20,11,7,0,4,0
2014-05-01,DE,58,18,23,0,2,0,0
2014-06-01,DE,60,15,5,0,6,0,0
2014-07-01,DE,80,28,13,0,0,0,0
2014-08-01,DE,70,17,5,0,3,0,0
2014-09-01,DE,57,15,18,0,13,3,0
2014-10-01,DE,65,19,12,4,0,0,4
2014-11-01,DE,52,18,13,0,0,5,4
2014-12-01,DE,48,10,8,3,2,0,4
2015-01-01,DE,40,13,9,11,0,0,8
2015-02-01,DE,40,18,16,0,3,0,0
2015-03-01,DE,51,14,12,5,2,0,7
2015-04-01,DE,56,18,13,0,5,2,0
2015-05-01,DE,67,20,8,7,0,0,0
2015-06-01,DE,69,12,11,0,0,0,0
2015-07-01,DE,73,18,17,0,2,0,4
2015-08-01,DE,72,19,6,10,0,4,0
2015-09-01,DE,58,20,7,0,0,0,0
2015-10-01,DE,63,14,13,0,3,0,0
2015-11-01,DE,49,9,10,12,0,0,0
2015-12-01,DE,54,12,8,0,5,0,0
2016-01-01,DE,45,12,9,4,3,0,6
2016-02-01,DE,45,15,29,0,0,0,3
2016-03-01,DE,54,16,9,0,0,0,0
2016-04-01,DE,56,20,12,0,0,7,0
2016-05-01,DE,67,16,4,0,0,2,5
2016-06-01,DE,61,15,0,5,0,0,0
2016-07-01,DE,77,27,16,0,0,5,0
2016-08-01,DE,69,20,13,0,0,0,0
2016-09-01,DE,61,17,6,5,0,0,0
2016-10-01,DE,56,18,7,0,4,0,0
2016-11-01,DE,47,13,11,0,4,5,0
2016-12-01,DE,52,16,6,3,4,4,5
2017-01-01,DE,42,14,11,5,4,0,0
2017-02-01,DE,46,16,0,0,0,0,0
2017-03-01,DE,53,17,14,0,3,0,6
2017-04-01,DE,60,18,5,0,0,0,0
2017-05-01,DE,64,17,17,0,0,0,0
2017-06-01,DE,68,18,22,7,0,0,0
2017-07-01,DE,75,19,12,5,0,5,6
2017-08-01,DE,69,20,10,0,2,0,0
2017-09-01,DE,60,17,16,0,2,0,5
2017-10-01,DE,67,22,16,5,0,0,3
2017-11-01,DE,53,14,6,0,2,2,0
2017-12-01,DE,52,11,0,0,4,0,0
2018-01-01,DE,44,12,7,4,6,0,0
2018-02-01,DE,45,11,18,0,0,0,0
2018-03-01,DE,55,19,9,0,4,2,0
2018-04-01,DE,56,18,13,0,0,0,0
2018-05-01,DE,62,20,9,0,0,0,0
2018-06-01,DE,69,17,11,0,2,2,13
2018-07-01,DE,77,23,8,6,0,2,5
2018-08-01,DE,71,19,15,0,0,0,7
2018-09-01,DE,57,18,18,0,7,3,0
2018-10-01,DE,63,15,14,0,2,0,0
2018-11-01,DE,43,12,15,0,0,0,0
2018-12-01,DE,48,11,5,11,0,3,0
2019-01-01,DE,39,11,10,5,0,0,0
2019-02-01,DE,42,9,9,0,0,2,0
2019-03-01,DE,46,11,7,0,0,2,0
2019-04-01,DE,54,14,5,0,0,2,0
2019-05-01,DE,57,14,13,0,0,0,0
2019-06-01,DE,68,17,13,0,0,3,0
2019-07-01,DE,72,17,15,0,0,0,0
2019-08-01,DE,66,18,9,8,0,2,3
2019-09-01,DE,64,15,8,8,0,2,0
2019-10-01,DE,62,20,16,0,4,2,0
2019-11-01,DE,48,10,10,3,0,4,4
2019-12-01,DE,46,16,13,0,0,0,0
2020-01-01,DE,43,9,16,0,0,0,0
2020-02-01,DE,55,13,22,0,0,0,0
2020-03-01,DE,100,31,74,0,1,4,0
2020-04-01,DE,61,15,34,0,2,0,4
2020-05-01,DE,57,15,22,5,6,2,0
2020-06-01,DE,67,22,30,0,0,0,6
2020-07-01,DE,84,28,38,0,2,3,5
2020-08-01,DE,82,40,52,0,0,2,0
2020-09-01,DE,76,47,59,4,4,0,3
2020-10-01,DE,70,45,61,8,4,5,7
2020-11-01,DE,34,12,11,0,3,0,0
2020-12-01,DE,35,9,0,4,0,0,3
2021-01-01,DE,27,7,0,0,2,0,0
2021-02-01,DE,28,8,0,0,0,0,0
2021-03-01,DE,33,5,0,2,0,2,0
2021-04-01,DE,30,7,0,0,2,2,0
2021-05-01,DE,43,9,3,0,0,0,0
2021-06-01,DE,56,15,6,0,2,0,0
2021-07-01,DE,66,16,7,0,0,0,5
2021-08-01,DE,68,16,9,7,3,0,0
2021-09-01,DE,54,11,0,0,3,4,0
2021-10-01,DE,58,18,8,4,5,2,0
2021-11-01,DE,50,15,7,0,4,4,0
2021-12-01,DE,52,11,4,0,0,0,0
2022-01-01,DE,47,15,7,0,0,0,0
2022-02-01,DE,54,13,3,6,0,0,0
2022-03-01,DE,60,14,4,0,4,0,0
2022-04-01,DE,73,17,9,0,0,2,0
2022-05-01,DE,69,15,8,0,0,0,0
2022-06-01,DE,91,18,0,0,0,2,0
2022-07-01,DE,76,21,17,0,3,0,5
2022-08-01,DE,81,15,11,4,0,0,0
2022-09-01,DE,66,20,11,8,0,0,0
2004-01-01,DK,39,0,0,49,0,0,0
2004-02-01,DK,52,87,0,0,0,100,0
2004-03-01,DK,56,100,0,0,0,0,0
2004-04-01,DK,44,0,0,0,0,0,0
2004-05-01,DK,65,0,0,100,0,0,0
2004-06-01,DK,43,34,0,0,0,0,0
2004-07-01,DK,84,0,0,0,0,0,0
2004-08-01,DK,75,0,0,0,0,0,0
2004-09-01,DK,55,71,0,0,34,0,58
2004-10-01,DK,41,0,0,0,89,0,0
2004-11-01,DK,0,0,100,0,0,0,93
2004-12-01,DK,55,0,0,0,0,42,0
2005-01-01,DK,51,25,0,0,100,0,0
2005-02-01,DK,42,0,0,0,0,0,0
2005-03-01,DK,62,0,0,36,0,0,0
2005-04-01,DK,48,0,0,0,87,0,0
2005-05-01,DK,56,0,0,0,70,0,0
2005-06-01,DK,34,0,49,0,31,0,0
